业务板块	客群与定位	说明
时效快递	主要面向个人、企业、商家等，提供时效性强、速度领先的高品质门到门寄递服务	根据寄递流向与距离，可实现当日达、次晨达、次日达等
时效快递	主要面向个人、企业、商家等，提供时效性强、速度领先的高品质门到门寄递服务	快递全程时限行业第一（国家邮政局2021年快递时限测试）
经济快递	主要面向电商平台、电商商家，提供性价比高、品质保障的配送服务	“顺丰速运”直营网络服务高要求客群，门到门配送
经济快递	主要面向电商平台、电商商家，提供性价比高、品质保障的配送服务	“丰网速运”加盟网络服务下沉电商市场，定价更优惠
经济快递	主要面向电商平台、电商商家，提供性价比高、品质保障的配送服务	仓储及仓配一体服务，满足多种类型仓储需求，提供全国分仓、智慧云仓及仓配一体服务 
快运	主要面向生产制造、商业流通领域有大件配送、批量运输需求的客户	航空大件：基于客制化需求，提供定制化大件航空运输服务，最快8-16小时送达
快运	主要面向生产制造、商业流通领域有大件配送、批量运输需求的客户	陆运大件：B2C电商大包裹，B2B门店调拨/大票零担/整车运输
快运	主要面向生产制造、商业流通领域有大件配送、批量运输需求的客户	大件仓配、搬家、店配、送装一体等场景化延伸服务
快运	主要面向生产制造、商业流通领域有大件配送、批量运输需求的客户	快运 “顺丰快运”直营网络服务中高端客群，“顺心捷达〞加盟网络服务下沉市场。
 冷运及医药	主要面向时令生鲜食品、冷冻食品、医药产业三大领域的客户	生鲜寄递：将全国超4,000种农产品从产地直达配送至消费者
 冷运及医药	主要面向时令生鲜食品、冷冻食品、医药产业三大领域的客户	食品冷运：提供多温区冷仓、零担/专车运输，及配送到店、到消费者的高标准全程温控冷链服务
 冷运及医药	主要面向时令生鲜食品、冷冻食品、医药产业三大领域的客户	医药物流：服务医药产业全链条，实现-80°C到25°C多温区控制及运输，提供GSP认证的医药冷仓服务
同城急送	主要面向餐饮门店、零售/电商商家、个人及企业提供即时物流配送服务	提供To B的尊享、特惠及增值服务
同城急送	主要面向餐饮门店、零售/电商商家、个人及企业提供即时物流配送服务	提供To c的帮取、帮送、帮买、帮办产品体系
同城急送	主要面向餐饮门店、零售/电商商家、个人及企业提供即时物流配送服务	全城平均1小时即时配送服务
国际快递	主要面向国内及海外制造企业、贸易企业、跨境电商以及消费者，提供国际快递、海外本土快递、 跨境电商包裹及海外仓服务	国际快递：满足跨境紧急寄递需求的高时效的标准服务，含高品质的国际标快及经济型的国际特惠产品
国际快递	主要面向国内及海外制造企业、贸易企业、跨境电商以及消费者，提供国际快递、海外本土快递、 跨境电商包裹及海外仓服务	国际电商：满足跨境电商需求的高性价比的经济型服务，含高效的国际电商专递和品质型国际小包
国际快递	主要面向国内及海外制造企业、贸易企业、跨境电商以及消费者，提供国际快递、海外本土快递、 跨境电商包裹及海外仓服务	海外本士快递：服务覆盖泰国、越南、马来西亚、柬埔寨、印尼等东南亚国家。
国际货运及代理	主要面向客户提供空运、海运、铁运、陆运及多式联运的货运解决方案	空运：提供从出发点提货、多重整合、清关、交付至终端客户的空运服务；
国际货运及代理	主要面向客户提供空运、海运、铁运、陆运及多式联运的货运解决方案	海运：提供包括各类型传统货运、整箱承运及拼箱承运的海运服务；
国际货运及代理	主要面向客户提供空运、海运、铁运、陆运及多式联运的货运解决方案	陆路货运：提供贯通欧亚的，创新及具经济效益的陆运、铁运服务。
供应链	主要面向各类行业客户，提供国内及国际端到端供应链解决方案	以技术赋能，依托顺丰大数据、AloT技术及软硬件系统集成能力，助力客户打造智慧供应链
供应链	主要面向各类行业客户，提供国内及国际端到端供应链解决方案	顺丰丰豪、新夏晖提供中国本土供应链服务
供应链	主要面向各类行业客户，提供国内及国际端到端供应链解决方案	嘉里物流提供环球综合物流服务
